2023-01-27 18:28:48,687 Debug Message
2023-01-27 18:29:10,236 Debug Message
2023-01-27 18:29:10,236 its a warning
2023-01-27 18:29:10,236 Just an information
2023-01-27 18:30:47,383 Debug Message
2023-01-27 18:30:47,384 its a warning
2023-01-27 18:30:47,384 Just an information
2023-01-27 18:33:40,513 Debug Message
2023-01-27 18:33:40,514 its a warning
2023-01-27 18:33:40,514 Just an information
2023-01-27 18:35:06,853 Debug Message
2023-01-27 18:35:06,853 its a warning
2023-01-27 18:35:06,854 Just an information
